{i18n_haroopad_1}	文件
{i18n_haroopad_2}	新建
{i18n_haroopad_3}	打开...
{i18n_haroopad_4}	打开最近使用的
{i18n_haroopad_5}	清除
{i18n_haroopad_6}	保存
{i18n_haroopad_7}	另存为...
{i18n_haroopad_8}	关闭
{i18n_haroopad_9}	发送到
{i18n_haroopad_10}	Email
{i18n_haroopad_11}	导出到...
{i18n_haroopad_12}	文件
{i18n_haroopad_13}	HTML
{i18n_haroopad_14}	剪贴板
{i18n_haroopad_15}	无样式 HTML
{i18n_haroopad_16}	含样式 HTML
{i18n_haroopad_17}	打印...
{i18n_haroopad_18}	偏好设置...
{i18n_haroopad_19}	退出
{i18n_haroopad_20}	查找
{i18n_haroopad_21}	查找...
{i18n_haroopad_22}	查找下一个
{i18n_haroopad_23}	查找上一个
{i18n_haroopad_24}	替换...
{i18n_haroopad_25}	替换全部
{i18n_haroopad_26}	视图
{i18n_haroopad_27}	显示模式
{i18n_haroopad_28}	编辑区 : 预览区
{i18n_haroopad_29}	预览区 : 编辑区
{i18n_haroopad_30}	编辑区
{i18n_haroopad_31}	预览区
{i18n_haroopad_32}	切换实时预览
{i18n_haroopad_33}	Toggle Markdown Syntax Helper
{i18n_haroopad_34}	切换显示行号
{i18n_haroopad_35}	预览区宽度 +5%
{i18n_haroopad_36}	预览区宽度 -5%
{i18n_haroopad_37}	列布局
{i18n_haroopad_38}	一列
{i18n_haroopad_39}	二列
{i18n_haroopad_40}	三列
{i18n_haroopad_41}	字体大小
{i18n_haroopad_42}	编辑区字体大小
{i18n_haroopad_43}	预览区字体大小
{i18n_haroopad_44}	切换 VIM 模式
{i18n_haroopad_45}	切换目录
{i18n_haroopad_46}	全屏
{i18n_haroopad_47}	Presentation Mode
{i18n_haroopad_48}	编辑区主题...
{i18n_haroopad_49}	编辑区用户主题...
{i18n_haroopad_50}	预览区主题...
{i18n_haroopad_51}	预览区代码主题...
{i18n_haroopad_52}	预览区用户主题...
{i18n_haroopad_53}	插入
{i18n_haroopad_54}	当前日期时间
{i18n_haroopad_55}	当前文件名
{i18n_haroopad_56}	复制 HTML
{i18n_haroopad_57}	标题
{i18n_haroopad_58}	加粗
{i18n_haroopad_59}	强调
{i18n_haroopad_60}	行内代码
{i18n_haroopad_61}	图片
{i18n_haroopad_62}	超链接
{i18n_haroopad_63}	引用
{i18n_haroopad_64}	有序列表
{i18n_haroopad_65}	无序列表
{i18n_haroopad_66}	分节符
{i18n_haroopad_67}	分页符
{i18n_haroopad_68}	分段符
{i18n_haroopad_69}	代码块
{i18n_haroopad_70}	删除线
{i18n_haroopad_71}	Tasklist
{i18n_haroopad_72}	嵌入对象
{i18n_haroopad_73}	脚注
{i18n_haroopad_74}	脚注引用
{i18n_haroopad_75}	目录
{i18n_haroopad_76}	表格
{i18n_haroopad_77}	注释
