文件,文件
新建,新建
打开...,打開...
打开最近使用的,打開最近使用的
清除,清除
保存,保存
另存为...,另存為...
关闭,關閉
发送到,發送到
Email,Email
导出到...,導出到...
文件,文件
HTML,HTML
剪贴板,剪貼板
无样式 HTML,無樣式 HTML
含样式 HTML,含樣式 HTML
打印...,打印...
偏好设置...,偏好設置...
退出,退出
查找,查找
查找...,查找...
查找下一个,查找下一個
查找上一个,查找上一個
替换...,替換...
替换全部,替換全部
视图,視圖
显示模式,顯示模式
编辑区 : 预览区,編輯區 : 預覽區
预览区 : 编辑区,預覽區 : 編輯區
编辑区,編輯區
预览区,預覽區
切换实时预览,切換實時預覽
Toggle Markdown Syntax Helper,Toggle Markdown Syntax Helper
切换显示行号,切換顯示行號
预览区宽度 +5%,預覽區寬度 +5%
预览区宽度 -5%,預覽區寬度 -5%
列布局,列佈局
一列,一列
二列,二列
三列,三列
字体大小,字體大小
编辑区字体大小,編輯區字體大小
预览区字体大小,預覽區字體大小
切换 VIM 模式,切換 VIM 模式
切换目录,切換目錄
全屏,全屏
Presentation Mode,Presentation Mode
编辑区主题...,編輯區主題...
编辑区用户主题...,編輯區用戶主題...
预览区主题...,預覽區主題...
预览区代码主题...,預覽區代碼主題...
预览区用户主题...,預覽區用戶主題...
插入,插入
当前日期时间,當前日期時間
当前文件名,當前文件名
复制 HTML,複製 HTML
标题,標題
加粗,加粗
强调,強調
行内代码,行內代碼
图片,圖片
超链接,超鏈接
引用,引用
有序列表,有序列表
无序列表,無序列表
分节符,分節符
分页符,分頁符
分段符,分段符
代码块,代碼塊
删除线,刪除線
Tasklist,Tasklist
嵌入对象,嵌入對象
脚注,腳註
脚注引用,腳註引用
目录,目錄
表格,表格
注释,註釋
高亮,高亮
下划线,下劃線
数学代码(行间),數學代碼(行間)
数学代码(行内),數學代碼(行內)
嵌入视频,嵌入視頻
嵌入音频,嵌入音頻
嵌入图像,嵌入圖像
嵌入其他对象...,嵌入其他對象...
工具,工具
窗口,窗口
最小化,最小化
关闭,關閉
前置全部窗口,前置全部窗口
帮助,幫助
Haroopad 帮助,Haroopad 幫助
Markdown 语法帮助,Markdown 語法幫助
Haroopad 快捷键帮助,Haroopad 快捷鍵幫助
发行说明,發行說明
致谢,致謝
Haroopad 网站,Haroopad 網站
用户反馈,用戶反饋
Twitter,Twitter
检查更新,檢查更新
捐赠,捐贈
编辑,編輯
撤销,撤銷
重做,重做
剪切,剪切
复制,複製
粘贴,黏貼
删除,刪除
全选,全選
复制无格式 HTML,複製無格式 HTML
复制有格式 HTML,複製有格式 HTML
未命名,未命名
已编辑,已編輯
已恢复 (编辑于 {{date}}),已恢復 (編輯於 {{date}})
只读,只讀
实验性功能,實驗性功能
今天，写一些什么呢?,今天，寫一些什麼呢?
行数,行數
字数,字數
目录,目錄
分享,分享
元素统计,元素統計
图片,圖片
标题,標題
超链接,超鏈接
表格,表格
段落,段落
代码,代碼
引用,引用
显示目录,顯示目錄
进入/退出大纲模式,進入/退出大綱模式
进入/退出全屏,進入/退出全屏
Tab 宽度,Tab 寬度
使用制表符缩进,使用製表符縮進
实验性功能,實驗性功能
空格,空格
列,列
一列,一列
二列,二列
三列,三列
显示/隐藏语法帮助,顯示/隱藏語法幫助
Please Share!,Please Share!
捐赠,捐贈
支持软件发展,支持軟件發展
如果您觉得 Haroopad 对您有用，请考虑通过 <a href='http://pad.haroopress.com/page.html?f=grow-up-donate' id='donate-link'>捐赠</a> 来支持软件的进一步发展 :),如果您覺得Haroopad 對您有用，請考慮通過<a href='http://pad.haroopress.com/page.html?f=grow-up-donate' id='donate-link'>捐贈</a > 來支持軟件的進一步發展:)
发送邮件,發送郵件
输入主题,輸入主題
接收者,接收者
发送者,發送者
输入接收者的 Email 地址,輸入接收者的 Email 地址
HTML,HTML
Markdown,Markdown
关闭,關閉
发送,發送
已发送,已發送
记住 Email,記住 Email
密码,密碼
密码不会被保存,密碼不會被保存
输入您的Gmail地址,輸入您的Gmail地址
Evernote,Evernote
Tumblr,Tumblr
无效的用户名或密码.,無效的用戶名或密碼.
文档已修改，是否保存修改?,文檔已修改，是否保存修改?
取消,取消
不保存,不保存
保存,保存
是,是
否,否
内容已被其他程序修改。<br/>是否重新载入?,內容已被其他程序修改。 <br/>是否重新載入?
已是最新版,已是最新版
希望获得最新版本?,希望獲得最新版本?
发行说明,發行說明
下载,下載
Haroopad 目前已是最新版本，不需要更新,Haroopad 目前已是最新版本，不需要更新
偏好设置,偏好設置
确定,確定
否,否
是,是
取消,取消
重置,重置
应用,應用
完成,完成
更新中,更新中
编辑,編輯
重新载入,重新載入
已有新的语言包，是否现在更新?,已有新的語言包，是否現在更新?
更新完成，请重新启动 Haroopad :),更新完成，請重新啟動 Haroopad :)
更新失败 :( 请检查网络连接。,更新失敗 :( 請檢查網絡連接。
通用,通用
编辑器,編輯器
预览,預覽
自定义,自定義
代码,代碼
Markdown,Markdown
关于,關於
备份,備份
通用,通用
日期和时间,日期和時間
启用 Markdown 自动完成,啟用 Markdown 自動完成
同步滚动,同步滾動
自动恢复上一次文件,自動恢復上一次文件
通用,通用
主题,主題
空格,空格
自定义主题,自定義主題
Tab 宽度,Tab 寬度
使用制表符缩进,使用製表符縮進
显示行号,顯示行號
Vim 模式,Vim 模式
自动符号配对,自動符號配對
插入 4 个空格代替制表符,插入 4 個空格代替製表符
高亮显示当前行,高亮顯示當前行
启用 Markdown 折叠,啟用 Markdown 折疊
通用,通用
主题,主題
字体大小,字體大小
自定义主题,自定義主題
允许点击超链接,允許點擊超鏈接
通用,通用
重新载入,重新載入
目录,目錄
选择主题,選擇主題
主题将应用于：实时预览、导出为 HTML/PDF、发送 Email (Evernote,主題將應用於：實時預覽、導出為 HTML/PDF、發送 Email (Evernote
通用,通用
主题,主題
代码高亮中显示行号,代碼高亮中顯示行號
Github Flavored Markdown (GFM),Github Flavored Markdown (GFM)
其他选项,其他選項
数学表达式选项,數學表達式選項
忽略输入的 HTML 标记,忽略輸入的 HTML 標記
使用 GFM 换行模式,使用 GFM 換行模式
启用 GFM 表格,啟用 GFM 表格
智能列表,智能列表
智能标点,智能標點
启用数学表达式,啟用數學表達式
您的 Markdown 设置将会恢复到默认设置,您的 Markdown 設置將會恢復到默認設置
使用 $ 作为行内表达式标记 (默认: $$$),使用 $ 作為行內表達式標記 (默認: $$$)
启用脚注,啟用腳註
捐赠,捐贈
"<strong>Haroo</strong> 在韩语中意为 \""一天\""","<strong>Haroo</strong> 在韓語中意為 \""一天\"""
版本,版本
官方网站,官方網站
开发者,開發者
特别感谢,特別感謝
图标,圖標
Haroopad<small>下一代文档编辑器</small>,Haroopad<small>下一代文檔編輯器</small>
如果您喜欢 Haroopad,如果您喜歡 ​​Haroopad
导入和导出配置...,導入和導出配置...
导入配置,導入配置
导出配置,導出配置
需要重新启动,需要重新啟動
配置导入完毕，您需要重新启动 Haroopad 来使它们生效。<br/>是否重新启动 Haroopad?,配置導入完畢，您需要重新啟動 Haroopad 來使它們生效。 <br/>是否重新啟動 Haroopad?
